gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,도곡1동,15148,26393,26631,30587,40317,36250,28181,22254
2024,도곡2동,26429,51373,37766,33242,66558,60652,40081,40102
2024,도림동,8619,8730,27974,36762,26084,31770,28143,25938
2024,도봉제1동,6352,10518,22462,22337,26594,38224,43738,47699
2024,도봉제2동,15114,15382,29002,36766,37406,45972,54015,53052
2024,도화동,13649,15713,28074,39225,31825,36523,32670,29214
2024,독산제1동,30838,26015,91993,115443,72676,70104,62550,46660
2024,독산제2동,7088,10907,24820,27433,23306,36535,36715,27017
2024,독산제3동,8144,11653,37524,40825,29762,45368,47501,35614
2024,독산제4동,4878,8551,20059,21781,18589,31021,30657,22399
2024,돈암제1동,7095,11308,20111,20382,19521,28362,25741,22885
2024,돈암제2동,17370,28321,29367,30054,42145,48100,33704,28153
2024,동선동,4233,9601,51834,26527,18932,20890,15998,17364
2024,동화동,6194,7907,12104,14267,15017,19775,18362,15367
2024,둔촌제1동,134,265,204,432,464,327,267,114
2024,둔촌제2동,16324,19945,33159,40834,38545,42252,42960,31592
2024,등촌제1동,13506,12428,50452,74363,38622,33977,27804,24176
2024,등촌제2동,10056,15342,29164,36317,30090,32588,32982,24828
2024,등촌제3동,15225,17529,34614,50456,39517,47766,62016,54252
2024,마장동,10363,15552,44378,34775,28217,37158,35049,30595
2024,마천1동,6882,14141,21031,21476,24592,36204,36764,32333
2024,마천2동,6007,11135,21459,21901,24182,35444,39088,31460
2024,망우본동,29516,24060,48891,71567,59014,63435,67890,51637
2024,망우제3동,5778,9258,20762,21510,21364,32742,33297,26216
2024,망원제1동,7929,11297,33124,39707,31485,31825,26882,26479
2024,망원제2동,8617,14787,27359,31681,30704,31854,24881,24838
2024,면목본동,12885,16978,51393,58918,47200,64253,58697,48187
2024,면목제2동,9744,14468,30958,37312,34756,47911,45957,36410
2024,면목제3.8동,9579,13257,35162,38752,34188,47048,48467,39073
2024,면목제4동,8845,12016,23483,27057,28650,34940,32699,30577
2024,면목제5동,13476,9682,16144,25846,26035,26030,23936,17604
2024,면목제7동,11019,11496,28847,36140,30940,38961,40936,33824
2024,명동,613,1283,3543,3789,3804,4963,5214,5154
2024,명일제1동,21548,25606,29110,39892,45424,42876,40921,30471
2024,명일제2동,10076,25672,22535,19888,31845,29146,27394,19291
2024,목1동,26224,55584,31711,30115,71056,56600,35345,25351
2024,목2동,13830,24495,45897,55853,46285,51446,45895,31326
2024,목3동,11441,13639,33588,41252,32689,37249,36014,26415
2024,목4동,10380,32390,40062,30081,40884,53899,33068,26123
2024,목5동,32478,79071,42472,37900,94045,73982,51746,35231
2024,무악동,5675,10247,8979,8898,14076,15758,12153,11430
2024,묵제1동,18276,31657,50211,50254,55400,60700,54383,47436
2024,묵제2동,8266,11222,26013,29193,27775,33994,33387,28330
