complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
방배임광3차,1,서초구,방배동,서울특별시 서초구 방배로2길 24-5,방배로2길,2025-05-24 00:00:00,서울서초구방배로2길24-5
방배3차e편한세상,1,서초구,방배동,서울특별시 서초구 동광로 89-5,동광로,1989-05-01 00:00:00,서울서초구동광로89-5
돈암대성유니드,1,성북구,돈암동,,동소문로31길,,nan
반포본동아파트,1,서초구,반포동,서울특별시 서초구 신반포로3길 14,신반포로3길,14,nan
반포경남,1,서초구,반포동,,,,nan
미성아파트(신사동),1,은평구,신사동,서울특별시 은평구 증산로15길 35-10,증산로15길,1935-10-01 00:00:00,서울은평구증산로15길35-10
문화촌현대,1,서대문구,홍제동,서울특별시 서대문구 문화촌길 6-24,문화촌길,2025-06-24 00:00:00,서울서대문구문화촌길6-24
문정세양청마루,1,송파구,문정동,서울특별시 송파구 송이로31길 66,송이로31길,66,문정동146
문래힐스테이트,1,영등포구,문래동3가,서울특별시 영등포구 문래로 82,문래로,82,문래동3가94
문래현대6차아파트,1,영등포구,문래동6가,서울특별시 영등포구 선유서로 31,선유서로,31,문래동6가55-1
문래현대5차아파트,1,영등포구,문래동5가,서울특별시 영등포구 선유서로9길 5,선유서로9길,5,문래동5가23-1
문래현대3차,1,영등포구,문래동5가,서울특별시 영등포구 선유서로 6,선유서로,6,문래동5가21
문래현대2차,1,영등포구,문래동6가,서울특별시 영등포구 문래로4길 6,문래로4길,6,문래동6가45
보문아남,1,성북구,보문동6가,서울특별시 성북구 보문사길 112,보문사길,112,보문동6가36-2
보문아이파크,1,성북구,보문동3가,서울특별시 성북구 지봉로21길 19,지봉로21길,19,보문동3가2
보문파크뷰자이아파트,1,성북구,보문동6가,서울특별시 성북구 보문사길 111,보문사길,111,보문동6가458
보문하우스토리주상복합,1,성북구,보문동4가,서울특별시 성북구 고려대로2길 37,고려대로2길,37,보문동4가116
상계마들,1,노원구,상계동,서울특별시 노원구 덕릉로70가길 101,덕릉로70가길,101,상계동771-3
상계 대창센시티,1,노원구,상계동,서울특별시 노원구 수락산로 246,수락산로,246,상계동1302
삼호한숲,1,영등포구,양평동4가,서울특별시 영등포구 선유로47길 34,선유로47길,34,양평동4가94
삼성홍실,1,강남구,삼성동,서울특별시 강남구 영동대로128길 15,영동대로128길,15,삼성동79
삼성파크아파트,1,강남구,삼성동,서울특별시 강남구 삼성동 126,삼성로99길,,서울강남구삼성동126
삼성석탑아파트,1,강남구,삼성동,,,,nan
삼성 상아2차아파트,1,강남구,삼성동,,,,nan
삼선힐스테이트,1,성북구,삼선동2가,서울특별시 성북구 낙산길 243-15,낙산길,243-15,삼선동2가420
삼선푸르지오아파트,1,성북구,삼선동2가,서울특별시 성북구 보문로29다길 31,보문로29다길,31,삼선동2가425
삼선코오롱아파트,1,성북구,삼선동4가,서울특별시 성북구 삼선교로23길 23,삼선교로23길,23,삼선동4가73
삼선SKView,1,성북구,삼선동3가,서울특별시 성북구 삼선교로16길 35,삼선교로16길,35,삼선동3가116
사당대아2차,1,동작구,사당동,,,,nan
브라운스톤동선,1,성북구,동소문동7가,서울특별시 성북구 아리랑로5길 25,아리랑로5길,25,동소문동7가120
브라운스톤금호아파트,1,성동구,금호동4가,서울특별시 성동구 매봉길 24,매봉길,24,금호동4가1507
불광대호2차,1,은평구,불광동,서울특별시 은평구 불광로 90,불광로,90,불광동631-1
북한산수자인,1,은평구,불광동,서울특별시 은평구 불광로 170,불광로,170,불광동636
북한산두산위브2차,1,서대문구,홍은동,서울특별시 서대문구 홍은중앙로1길 100,홍은중앙로1길,100,홍은동468
북서울자이 폴라리스 아파트,1,강북구,미아동,서울특별시 강북구 삼양로58길 29,삼양로58길,29,미아동788-1
봉천인헌아파트,1,관악구,봉천동,서울특별시 관악구 낙성대로15길 66,낙성대로15길,66,봉천동1725
봉천은천2단지,1,관악구,봉천동,서울특별시 관악구 인헌12길 46-1,인헌12길,1946-01-01 00:00:00,서울관악구인헌12길46-1
봉천은천1단지,1,관악구,봉천동,서울특별시 관악구 인헌12길 46-2,인헌12길,1946-02-01 00:00:00,서울관악구인헌12길46-2
문래현대1차,1,영등포구,문래동6가,서울특별시 영등포구 문래로4길 20,문래로4길,20,문래동6가46
문래한신,1,영등포구,문래동6가,서울특별시 영등포구 선유서로 35,선유서로,35,문래동6가43
문래진주,1,영등포구,문래동5가,서울특별시 영등포구 선유로9길 31,선유로9길,31,문래동5가22
마곡우림필유아파트,1,강서구,방화동,서울특별시 강서구 양천로28길 29,양천로28길,29,마곡동1467
리첸시아용산,1,용산구,원효로1가,서울특별시 용산구 백범로 341,백범로,341,원효로1가133-3
리버뷰신안인스빌,1,영등포구,문래동4가,서울특별시 영등포구 도림로145길 28,도림로145길,28,문래동4가67
롯데캐슬 리버파크 시그니처 아파트,1,광진구,자양동,서울특별시 광진구 뚝섬로 467,뚝섬로,467,자양동236
래미안하이리버,1,성동구,금호동2가,서울특별시 성동구 금호로 107,금호로,107,금호동2가1217
래미안첼리투스,1,용산구,이촌동,서울특별시 용산구 이촌로 300,이촌로,300,이촌동301-263
래미안이문2차,1,동대문구,이문동,서울특별시 동대문구 이문로12길 3-10,이문로12길,2025-03-10 00:00:00,서울동대문구이문로12길3-10
래미안용산아파트,1,용산구,한강로2가,서울특별시 용산구 한강대로 95,한강대로,95,한강로2가422
